2;RAMON SACILOTTI;1;1;SP;KX 450F;KAWASAKI RINALDI
3;LUIZ FERNANDO MENUZZO;2;1;SP;KTM 500 EXC SIX DAYS;ARAMES FARPADOS RACING
4;MOARA SACILOTTI;1;1;SP;Kawasaki KLX 450;KAWASAKI RINALDI
5;ANTONIO ARNALDO BORGES DA SILVA;3;1;SP;PROTOTIPO;PODIUM RACING / MOTOTECH
6;RODRIGO MONTEMOR;2;1;SP;Kx 450;BIKE BOX
7;LEONARDO S. URATANI;2;1;SP;Husaberg FE450;EDL / BIANCHINI RALLY / ARAMES
8;RODRIGO KHEZAM;5;1;SP;Pajero;RODRIGO KHEZAM PIPO MIRONE RALLY TEAM
9;THOMAS RUDIGER HAHN;1;1;AC;KTM 690 REPLICA RALLY;TOMATE TEAM
10;FABRICIO BIANCHINI;2;1;SP;KTM 500cc de Macho!!;BIANCHINI RALLY
11;CHRISTIAN COSTANTINI;4;1;SP;CRF450X;ONE RALLY
12;MARCOS OBAL COLVERO;3;1;RS;MOTO KTM 450;BIANCHINI
14;JOaO PAULO PIRES MARTINS;2;1;SP;KTM EXC-F 350;ATC AVARe TRAIL CLUB
15;GUILHERME MELO;5;1;SP;KTM;IRMaOS MELO
16;MARCIODE TOLEDO PEREIRA;4;1;SP;moto;MX7 TEAM
17;RENATO TADEU LIMA NEUBERN;4;1;SP;ktm 250;
18;VERALDO ROSA DE LIMA JUNIOR;4;1;SP;ktm 250;
19;ROGeRIO RODRIGUES BATATA;5;1;SP;HONDA CRF230;MX7 TEAM
20;ELIAS CAMPIDELI FOLLY;2;1;PR;ktm 450;BIANCHINI RALLY
31;JeReMY DUBOIS;13;2;SP;KTM 525XC;SAT RACING
32;LUIZ FERNANDO MELO;13;2;SP;TRX 700;IRMaOS MELO
33;RICHARD AMARAL;13;2;SP;Raptor700;AMARALS RACING
41;RODRIGO VARELA;6;3;SP;MAVERICK TURBO;DIVINO FOGAO RALLY TEAM
42;DIMAS DE MELO PIMENTA III;7;3;SP;Mavarick;DIMEP/CASARINE
45;BRUNO VARELA;6;3;SP;Polaris xp turbo;DIVINO FOGAO RALLY TEAM
43;MAURICIO PENA ROCHA;8;3;MG;UTV MAVERICK TURBO;QUADRIJET RACING
44;GABRIEL VARELA;8;3;SP;Maverick;DIVINO FOGAO RALLY TEAM
46;DANIEL COSTA;7;3;MG;Polaris XP 1000;
49;ROBERTO PRADO SAMPAIO (BOTCHA);6;3;SP;POLARIS;SACRAMENTO RACING
47;ANDRE MACEDO CORREA;8;3;SP;UTV RZR TURBO;BAZE
51;LUIZ SIDNEI AZEVEDO;9;3;RS;XP 1000;PODIUM RACING
48;RENATO MEINBERG;6;3;SP;Polaris XP Erley;BRASIL OFF ROAD
50;ERIK EVANDRO DONATTO;6;3;SP;utv;CABANHA SANTA HELENA RACING
52;FABIO CITRO;8;3;SP;rzr xp turbo;CITROPLAST
54;HELENA DEYAMA;10;3;SP;Polaris RZR 900;LUART/BRASIL OFF ROAD
53;MARCELO CARQUEIJO;9;3;SP;RZR1000;FUSaO BRASIL / BAZE
58;LEANDRO TORRES;6;3;SP;Polaris XP1000 Turbo;TORRES RACING / BRASIL OFF ROAD
56;VALDIR AMARAL;8;3;SP;Maverick Turbo;AMARALS RACING
57;HENRIQUE WERNECK GUTIERREZ;6;3;MG;Yamaha YXZ 1000;YODA RACING
66;DENISIO CASARINI FILHO;6;3;SP;Maverick;CASARINI TEAM
61;MARCELO MISTRORIGO;7;3;SP;CAN?AMÿMAVERICKÿXRS;NETCOMPANYÿ|ÿBIKEÿBOX
60;EDSON TUZINO NOLE;9;3;SP;Polaris RZR 900 S;POLARIS ONE
59;VINICIUS GOMES DA SILVA;6;3;SP;UTV - Maverick 1000 Turbo;RADIAL RALLY TEAM
65;LUIZ ANDRE RODRIGUES;7;3;RJ;Can-Am Maverick;MA‡ARANDUBA MOTORSPORT
67;PEDRO LUIS FERREIRA QUEIROLO;6;3;SP;maverick 1000r Turbo;CASARINI - MULTI SOLUTION
68;LUIZ CLAUDIO RODRIGUES;7;3;RJ;Can-Am Maverick;MA‡ARANDUBA MOTORSPORT
64;ANDRE HORT;7;3;SC;Polaris RZR XP 1000;MH RACING
69;BRUNO LEaO SPERANCINI;6;3;MG;Maverick 1000;PROMINAS RACING
70;MAURICIO NEVES;6;3;PR;Polaris RZR 1000Turbo;PROMACCHINA MOTORSPORT
63;CRISTIANO DE SOUSA BATISTA;6;3;MG;RZR 1000 turbo;
72;WILKER CAMPOS;8;3;SP;MAVERICK;AMARALS
71;FERNANDO RODRIGUES NUNEZ;7;3;SP;Can-am Maverick;AMARALS RACING
73;ADRIANO JOSE BENVENUTTI;7;3;SC;UTV;TECNOMOTOS
75;OSMAN GUIDA DIDI;8;3;SP;CAN AM TURBO;CONTUFLEX RALLY TEAM
79;JULIANO MEIRA;7;3;SP;xp 1000;MOTORCHELL RACING
83;GABRIELDE PAULA CESTARI;8;3;MG;Polaris RZR TURBO;GHIA RALLY TEAM/BRASIL OFF-ROAD
74;DIEGO DE AZEVEDO PIZZO;9;3;RJ;Polaris Rzr XP 1000;
78;JOSE LUIZ CAMATA;9;3;SP;Polaris RZR-1000;DIVINO FOGAO RALLY TEAM
80;LEANDRO FRACASSI;9;3;SP;Polaris XP 1000;POEIRA RALLY
76;GUILHERME TROMBINI;8;3;PR;CAN AM TURBO;CHAVES RALLY TEAM
55;RODRIGO CORDARO;8;3;SP;Rzr xp 1000 turbo;BRASIL OFF ROAD
62;ROBERLENA MORAES;10;3;SP;RZR 900;FUSaO BRASIL / BAZE
84;FRABRICIO ALEJANDRO;9;3;SP;Polaris xp 1000;MOTORCHEL
85;GUTIERREZ FLENG;12;3;SP;Bug;MOTORCHEL
77;JEFFERSON ALVES BATISTA;11;3;AC;Polaris Rzr 900 S;MOTORCHELL RACING
81;EUCLIDES GERMANO BENVENUTI JUNIOR;11;3;SC;Polaris xp 1000;BENVETEX RACING
82;RAFAEL MARTIN BENAVIDES;10;3;SP;Polaris rzr 900;MOTORCHEL
500;Teste 500;14;4;BR;Teste carro;Equipe Crono
501;Teste 501;14;4;BR;Teste carro;Equipe Crono
