1;04:47:00;Perdeu 41 Wpt(s) Roteiro (W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271, W3278, W3280, W3282, W3293 e etc)
1;00:01:00;VelPerm=40Km/h / 1 x (1..20Km/h)
1;00:30:00;Perdeu CARIMBO CmpID=1
10;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
10;00:30:00;Perdeu CARIMBO CmpID=10
15;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
15;00:30:00;Perdeu CARIMBO CmpID=15
16;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
16;00:30:00;Perdeu CARIMBO CmpID=16
21;00:00:42;Lg=08:19:58 Ch=08:24:44 Real=00:04:46 Min=0:05:00.00 Dif=00:00:14 (4,66%)( x3)
23;00:01:00;VelPerm=40Km/h / 1 x (1..20Km/h)
23;00:01:00;VelPerm=40Km/h / 1 x (1..20Km/h)
23;00:07:00;VelPerm=100Km/h / 7 x (1..20Km/h)
25;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
25;00:30:00;Perdeu CARIMBO CmpID=25
29;00:28:00;VelPerm=40Km/h / 2 x (20..40Km/h) + 4 x (>40Km/h)
30;00:01:39;Lg=11:12:20 Ch=11:46:47 Real=00:34:27 Min=0:35:00.00 Dif=00:00:33 (1,57%)( x3)
32;00:00:24;Lg=08:10:43 Ch=08:15:35 Real=00:04:52 Min=0:05:00.00 Dif=00:00:08 (2,66%)( x3)
32;00:02:00;VelPerm=100Km/h / 2 x (1..20Km/h)
33;00:14:00;VelPerm=40Km/h / 1 x (20..40Km/h) + 2 x (>40Km/h)
33;00:00:18;Lg=10:37:12 Ch=11:12:06 Real=00:34:54 Min=0:35:00.00 Dif=00:00:06 (0,28%)( x3)
34;00:09:00;VelPerm=40Km/h / 3 x (1..20Km/h) + 1 x (>40Km/h)
36;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
36;00:30:00;Perdeu CARIMBO CmpID=36
37;00:00:57;Lg=08:33:23 Ch=08:38:04 Real=00:04:41 Min=0:05:00.00 Dif=00:00:19 (6,33%)( x3)
42;00:00:45;Lg=07:53:31 Ch=07:58:16 Real=00:04:45 Min=0:05:00.00 Dif=00:00:15 (5,00%)( x3)
47;00:07:00;Perdeu 1 Wpt(s) Roteiro (W3131)
48;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
48;00:30:00;Perdeu CARIMBO CmpID=48
52;00:01:00;VelPerm=40Km/h / 1 x (1..20Km/h)
52;00:01:00;VelPerm=30Km/h / 1 x (1..20Km/h)
53;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
53;00:30:00;Perdeu CARIMBO CmpID=53
101;00:02:00;VelPerm=40Km/h / 1 x (20..40Km/h)
103;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
103;00:30:00;Perdeu CARIMBO CmpID=103
107;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
107;00:30:00;Perdeu CARIMBO CmpID=107
111;00:00:48;Lg=08:38:17 Ch=08:43:01 Real=00:04:44 Min=0:05:00.00 Dif=00:00:16 (5,33%)( x3)
111;00:01:00;VelPerm=100Km/h / 1 x (1..20Km/h)
112;00:02:00;VelPerm=100Km/h / 2 x (1..20Km/h)
113;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
113;00:30:00;Perdeu CARIMBO CmpID=113
114;05:15:00;Perdeu 45 Wpt(s) Roteiro (W3030, W3040, W3047, W3050, W3063, W3065, W3071, W3073, W3082, W3084, W3090, W3098, W3102, W3103, W3107, W3130, W3131, W3133, W3160, W3167, W3181, W3196, W3201, W3222, W3229, W3239, W3243, W3252, W3253, W3271 e etc)
114;00:30:00;Perdeu CARIMBO CmpID=114

