3;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
5;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
12;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
13;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
20;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
22;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
25;00:01:00;VelPerm=80Km/h / 1 x (1..20Km/h)
26;00:01:21;Lg=09:55:02 Ch=09:58:35 Real=00:03:33 Min=0:04:00.00 Dif=00:00:27 (11,25%)( x3)
27;00:00:27;Lg=10:08:14 Ch=10:12:05 Real=00:03:51 Min=0:04:00.00 Dif=00:00:09 (3,75%)( x3)
28;00:00:36;Lg=12:26:08 Ch=12:40:56 Real=00:14:48 Min=0:15:00.00 Dif=00:00:12 (1,33%)( x3)
29;00:01:06;Lg=10:15:09 Ch=10:18:47 Real=00:03:38 Min=0:04:00.00 Dif=00:00:22 (9,16%)( x3)
31;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
32;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
33;00:00:21;Lg=10:08:31 Ch=10:12:24 Real=00:03:53 Min=0:04:00.00 Dif=00:00:07 (2,91%)( x3)
33;00:02:00;VelPerm=80Km/h / 2 x (1..20Km/h)
34;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
35;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
39;00:02:09;Lg=10:40:22 Ch=10:45:39 Real=00:05:17 Min=0:06:00.00 Dif=00:00:43 (11,94%)( x3)
40;00:02:27;Lg=12:23:38 Ch=12:37:49 Real=00:14:11 Min=0:15:00.00 Dif=00:00:49 (5,44%)( x3)
102;00:01:09;Lg=10:11:39 Ch=10:15:16 Real=00:03:37 Min=0:04:00.00 Dif=00:00:23 (9,58%)( x3)
102;00:01:03;Lg=12:12:40 Ch=12:27:19 Real=00:14:39 Min=0:15:00.00 Dif=00:00:21 (2,33%)( x3)
104;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)
106;02:10:00;Perdeu 41 Wpt(s) Roteiro (W5054, W5069, W5127, W5134, W5137, W5139, W5142, W5150, W5165, W5167, W5183, W5193, W5195, W5220, W5228, W5238, W5249, W5255, W5304, W5306, W5345, W5373, W5379, W5390, W5398, W5405, W5424, W5432, W5444, W5448 e etc)

