Num;Maq 7600
309;13:10:05.77
309;13:10:06.22
303;13:12:16.56
308;13:15:40.49
308;13:15:41.17
348;13:21:58.79
348;13:21:58.82
322;13:24:09.50
322;13:24:09.69
360;13:30:17.60
360;13:30:18.11
301;13:32:05.03
301;13:32:05.23
312;13:32:37.59
312;13:32:37.60
305;13:33:31.44
305;13:33:32.14
310;13:34:40.09
310;13:34:40.70
342;13:41:11.74
342;13:41:11.81
368;13:44:01.51
368;13:44:01.77
345;13:44:24.14
345;13:44:24.34
353;13:48:11.00
353;13:48:11.54
314;13:50:50.16
314;13:50:50.23
358;13:51:18.38
358;13:51:18.72
311;13:56:27.75
311;13:56:27.81
317;13:56:49.34
317;13:56:49.58
335;14:03:41.16
335;14:03:41.40
307;14:12:17.53
307;14:12:17.58
343;14:12:33.09
343;14:12:33.28
355;14:13:09.90
355;14:13:10.04
354;14:17:31.20
354;14:17:31.25
313;14:17:52.32
313;14:17:52.52
324;14:18:10.14
324;14:18:10.31
315;14:18:53.36
315;14:18:53.70
359;14:19:55.71
359;14:19:55.72
349;14:20:39.22
349;14:20:39.86
340;14:21:38.07
340;14:21:38.29
357;14:22:01.13
357;14:22:01.25
344;14:24:38.09
344;14:24:38.41
346;14:25:28.02
346;14:25:28.08
350;14:30:34.27
350;14:30:34.59
356;14:30:47.03
356;14:30:47.05

