3;02:55:00;SS3   ITUB - SSIMAO;Perdeu 34 Wpt(s) Roteiro (W3003, W3016, W3035, W3092, W3109, W3139, W3143, W3145, W3155, W3176, W3212, W3219, W3229, W3245, W3257, W3284, W3287, W3297, W3306, W3385, W3396, W3412, W3421, W3431, W3437, W3447, W3490, W3503, W3189, W3200 e etc)
5;02:55:00;SS3   ITUB - SSIMAO;Perdeu 34 Wpt(s) Roteiro (W3003, W3016, W3035, W3092, W3109, W3139, W3143, W3145, W3155, W3176, W3212, W3219, W3229, W3245, W3257, W3284, W3287, W3297, W3306, W3385, W3396, W3412, W3421, W3431, W3437, W3447, W3490, W3503, W3189, W3200 e etc)
9;00:05:00;SS3   ITUB - SSIMAO;Perdeu 1 Wpt(s) Roteiro (W3245)
11;00:00:21;SS3   ITUB - SSIMAO;Lg=10:37:02 Ch=11:08:55 Real=00:31:53 Min=0:32:00.00 Dif=00:00:07 (0,36%)( x3)
11;00:01:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 1 x (1..20Km/h)
13;02:55:00;SS3   ITUB - SSIMAO;Perdeu 34 Wpt(s) Roteiro (W3003, W3016, W3035, W3092, W3109, W3139, W3143, W3145, W3155, W3176, W3212, W3219, W3229, W3245, W3257, W3284, W3287, W3297, W3306, W3385, W3396, W3412, W3421, W3431, W3437, W3447, W3490, W3503, W3189, W3200 e etc)
14;00:12:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 2 x (>40Km/h)
17;00:01:00;SS3   ITUB - SSIMAO;VelPerm=30Km/h / 1 x (1..20Km/h)
18;00:08:00;SS3   ITUB - SSIMAO;VelPerm=40Km/h / 1 x (20..40Km/h) + 1 x (>40Km/h)
21;00:01:00;SS3   ITUB - SSIMAO;VelPerm=80Km/h / 1 x (1..20Km/h)
22;02:55:00;SS3   ITUB - SSIMAO;Perdeu 34 Wpt(s) Roteiro (W3003, W3016, W3035, W3092, W3109, W3139, W3143, W3145, W3155, W3176, W3212, W3219, W3229, W3245, W3257, W3284, W3287, W3297, W3306, W3385, W3396, W3412, W3421, W3431, W3437, W3447, W3490, W3503, W3189, W3200 e etc)
23;00:04:00;SS3   ITUB - SSIMAO;VelPerm=30Km/h / 4 x (1..20Km/h)
25;00:00:06;SS3   ITUB - SSIMAO;Lg=11:14:33 Ch=11:46:31 Real=00:31:58 Min=0:32:00.00 Dif=00:00:02 (0,10%)( x3)
